league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1912,South Central League,APLT0101,Appleton,,Longview,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,ATKN0101,Atkin,,Greenville,1912-04-30,1912-04-30,1,0,0,0,1,0,0,0,0,0,0,0
1912,South Central League,PLNK0101,Ballingal,,Marshall,1912-04-29,1912-04-29,1,0,0,0,0,0,1,1,0,0,0,0
1912,South Central League,PRKR0101,Barker,,Texarkana,1912-04-29,1912-05-01,3,0,0,0,0,0,3,0,3,0,0,0
1912,South Central League,PRNT0101,Barnett,,Greenville,1912-04-30,1912-04-30,1,0,0,0,0,0,0,0,0,0,0,0
1912,South Central League,PSZZ0101,Bessie,,Cleburne,1912-04-29,1912-05-01,3,0,0,0,0,0,3,0,0,3,0,0
1912,South Central League,PTSN0101,Bettison,,Paris,1912-04-29,1912-05-01,3,0,0,0,0,0,1,0,1,0,2,0
1912,South Central League,PNKM0101,Binghman,,Tyler,1912-04-30,1912-04-30,1,0,0,0,0,0,1,0,1,0,0,0
1912,South Central League,PLNX0101,Blanchette,,Marshall,1912-04-29,1912-05-01,3,0,3,0,0,0,0,0,0,0,0,0
1912,South Central League,PRTS0101,Broadus,,Longview,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,PRNZ0101,Brown,,Tyler,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,PSTR0101,Buster,,Tyler,1912-04-29,1912-05-01,3,0,0,0,0,0,0,0,0,0,3,0
1912,South Central League,KMPL0101,Campbell,,Tyler,1912-04-29,1912-05-01,3,0,3,0,0,0,0,0,0,0,0,0
1912,South Central League,KLZZ0101,Cella,,Texarkana,1912-04-29,1912-05-01,3,0,0,0,0,0,3,3,0,0,0,0
1912,South Central League,KLNS0101,Collins,,Paris,1912-04-29,1912-04-29,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,KSPZ0101,Crosby,,Longview,1912-04-29,1912-05-01,3,0,0,0,0,0,3,0,3,0,0,0
1912,South Central League,TXRN0101,Disharoon,,Greenville,1912-04-30,1912-04-30,1,0,0,0,0,0,0,0,0,0,0,0
1912,South Central League,TLZZ0101,Dooley,,Sherman,1912-04-30,1912-04-30,1,0,0,0,0,0,1,1,0,0,0,0
