key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
48632408-4b9f-5bf7-af61-90e3dceeb19a,1915-05-18,0,Northern,,Fort William-Port Arthur,10,,Winnipeg,2,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 19, 1915",3,0,1,2,0,2,0,2,0,,,,,,0,0,0,0,0,0,0,1,1,,,,,
afa8635e-4db8-5ec3-a2a6-dd5e73170eb5,1915-05-19,0,Northern,,Superior,,,Fargo-Moorhead,,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 20, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9328e491-0a2e-5d34-add2-bfa90b9201fa,1915-05-19,0,Northern,,Duluth,2,,Grand Forks,3,,,2:00,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 20, 1915",0,0,0,2,0,0,0,0,0,,,,,,0,0,0,0,0,1,0,0,2,,,,,
bf7f7f79-6b0f-542c-a2aa-6113dfb66480,1915-05-19,0,Northern,,Virginia,4,,St. Boniface,12,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 20, 1915",0,0,1,0,1,1,0,0,1,,,,,,3,8,0,0,0,0,0,1,x,,,,,
47b9c058-df45-505f-b8c4-beb7da039870,1915-05-19,0,Northern,,Fort William-Port Arthur,9,,Winnipeg,7,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 20, 1915",1,1,0,3,0,3,0,1,0,,,,,,2,1,3,0,1,0,0,0,0,,,,,
376efaf5-abf8-501b-8b59-d18ff03af51c,1915-05-20,0,Northern,,Superior,3,,Fargo-Moorhead,8,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 21, 1915",0,0,1,0,0,2,0,,,,,,,,0,0,0,0,0,8,0,,,,,,,
185d9fed-44f7-55af-a59c-124898b1c301,1915-05-20,0,Northern,,Duluth,6,,Grand Forks,4,,,2:00,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 21, 1915",0,2,0,0,0,2,2,0,0,,,,,,0,0,3,0,0,0,1,0,0,,,,,
97b33111-f716-54bd-b978-decc1df03b70,1915-05-20,0,Northern,,Virginia,10,,St. Boniface,2,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 21, 1915",0,1,1,1,1,1,1,3,1,,,,,,0,0,2,0,0,0,0,0,0,,,,,
e35e0e2c-8a4b-585a-a7a2-f06ab5f27313,1915-05-20,0,Northern,,Fort William-Port Arthur,4,,Winnipeg,3,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 21, 1915",0,0,3,1,0,0,0,0,0,,,,,,0,1,0,1,1,0,0,0,0,,,,,
2a145259-c1c9-5fef-9c0a-48a58fca4232,1915-05-21,0,Northern,,Superior,,,Duluth,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebf8ceeb-5409-5b4f-897c-5e303e31a871,1915-05-21,0,Northern,,Virginia,6,,Fort William-Port Arthur,3,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 22, 1915",3,0,0,0,0,3,0,,,,,,,,0,0,0,0,3,0,0,,,,,,,
b056a9c3-f21d-59a6-8a38-1634fbe44990,1915-05-21,0,Northern,,Grand Forks,0,,St. Boniface,6,,,1:23,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 22, 1915",0,0,0,0,0,0,0,0,0,,,,,,0,4,0,0,2,0,0,0,0,,,,,
2d647f50-d119-5710-b7f8-944cefd3353c,1915-05-21,0,Northern,,Fargo-Moorhead,6,,Winnipeg,1,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 22, 1915",0,0,0,5,0,0,0,1,0,,,,,,0,0,0,0,0,1,0,0,0,,,,,
8b4f5194-43bc-5f36-87f1-915cc14ab76f,1915-05-22,0,Northern,,Superior,4,,Duluth,5,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 23, 1915",0,0,0,0,1,1,0,2,0,0,0,,,,2,1,0,0,0,1,0,0,0,0,1,,,
6a1824c8-c1ca-551c-930e-f802d29831d7,1915-05-22,1,Northern,,Virginia,4,,Fort William-Port Arthur,2,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 23, 1915",2,0,0,1,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,2,0,,,,,
efc2aeae-ac3f-575e-8888-e406b1adcf6c,1915-05-22,2,Northern,,Virginia,1,,Fort William-Port Arthur,6,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 23, 1915",0,0,0,0,0,0,1,0,,,,,,,2,0,2,0,0,2,0,0,,,,,,
555d61f8-50fd-5166-b674-f7aa806dcc6c,1915-05-22,1,Northern,,Grand Forks,5,,St. Boniface,9,,,2:05,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 23, 1915",0,0,3,1,1,0,0,0,0,,,,,,0,0,1,0,6,2,0,0,x,,,,,
