league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Northern League,HNRZ0101,Henry,,Fort William-Port Arthur,1915-05-08,1915-05-08,1,0,0,0,0,1,0,0,0,0,0,0
1915,Northern League,HTZZ0102,Hewett,,Fort William-Port Arthur,1915-05-24,1915-05-24,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,HTZZ0202,Hewitt,,Fort William-Port Arthur,1915-05-08,1915-05-13,2,2,0,0,0,0,0,0,0,0,0,2
1915,Northern League,HFMN0101,Hoffman,,Duluth,1915-05-19,1915-05-19,1,0,0,0,0,0,1,0,0,1,0,0
1915,Northern League,HRTN0101,Horton,,Winnipeg,1915-05-14,1915-05-14,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,HRTZ0101,Huert,,Winnipeg,1915-05-18,1915-05-18,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,HKNS0202,Huggins,,Fort William-Port Arthur,1915-05-11,1915-05-25,3,3,0,0,0,0,0,0,0,0,0,3
1915,Northern League,JKSN0101,Jackson,,Duluth,1915-05-24,1915-05-24,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,JNSZ0101,Jones,,Duluth,1915-05-11,1915-05-11,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,JTZZ0101,Jude,,Winnipeg,1915-05-26,1915-05-26,1,0,0,0,0,0,1,0,0,1,0,0
1915,Northern League,KNTZ0101,Kennedy,,Winnipeg,1915-05-19,1915-05-19,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,KLNZ0101,Kline,,Winnipeg,1915-05-26,1915-05-26,1,0,0,0,1,0,0,0,0,0,0,0
1915,Northern League,KRNN0101,Kronin,,Virginia,1915-05-13,1915-05-13,1,0,0,0,0,0,0,0,0,0,0,0
1915,Northern League,KRKZ0101,Kurke,,Superior,1915-05-08,1915-05-24,8,0,0,0,0,0,0,0,0,0,8,0
1915,Northern League,LNZZ0102,Lane,,St. Boniface,1915-05-21,1915-05-25,6,0,0,0,0,0,6,6,0,0,0,0
1915,Northern League,LHZZ0101,Leahy,,Duluth,1915-05-12,1915-05-12,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,LNHN0104,Lenahan,,Grand Forks,1915-05-22,1915-05-26,5,0,5,0,0,0,0,0,0,0,0,0
1915,Northern League,LNHN0204,Lenehan,,Grand Forks,1915-05-10,1915-05-10,1,0,1,0,0,0,0,0,0,0,0,0
1915,Northern League,LNHN0304,Lennahan,,Grand Forks,1915-05-13,1915-05-21,2,0,2,0,0,0,0,0,0,0,0,0
1915,Northern League,LNHN0404,Lennehan,,Grand Forks,1915-05-08,1915-05-25,10,0,10,0,0,0,0,0,0,0,0,0
1915,Northern League,LNZZ0202,Leon,,Superior,1915-05-11,1915-05-25,4,4,0,0,0,0,0,0,0,0,0,4
1915,Northern League,LRNS0101,Lorenzen,,Fort William-Port Arthur,1915-05-22,1915-05-22,1,1,0,0,0,0,0,0,0,0,0,1
1915,Northern League,LLRZ0101,Lueller,,St. Boniface,1915-05-10,1915-05-10,1,0,0,0,0,0,0,0,0,0,1,0
1915,Northern League,MKPZ0101,McCabe,,Virginia,1915-05-10,1915-05-13,4,0,0,0,0,0,4,3,0,1,0,0
